Country,Store,Category,AvgRental,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (liters),Product 1 price,Product 2 quantity (liters),Product 2 price,Product 3 quantity (liters),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (count),Product 1 price,Product 2 quantity (count),Product 2 price,Product 3 quantity (count),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price
UK,Tesco,Mid-range,2080,0.5,2.55,0.5,3,0.08,0.6,0.6,1.4,0.12,0.25,,,1,2.84,1,7.96,1,7.96,1,1.14,1,0.7,0.65,0.45,1.1,1.5,0.5,1.7,,,1,1.75,,,,,1,0.47,1,0.5,1,0.75,1,6.2,1,8,1,9,6,1.2,6,2.1,6,2.6,0.125,3.45,,,,
UK,Tesco,Budget (cheap),1750,1,6,0.45,3,,,0.6,1.4,0.12,0.25,,,0.36,0.75,0.3,1,,,0.35,1.25,2,1.6,0.75,0.85,1,1.95,1.1,1.5,,,1,1.75,,,,,2.272,1.15,,,,,0.25,1.6,0.5,3.4,0.25,2,6,2.6,6,2.1,6,1.2,0.3,2.1,0.58,3.55,,
UK,Sainsbury,Mid-range,1300,0.48,1.6,0.48,1.3,0.48,2.6,0.78,1.25,1,0.73,0.944,1.1,1,1.75,1,1.88,1,1.8,1,1.1,2.5,1.75,1,0.64,1.5,1.05,0.5,0.55,1.5,1.5,1,5.75,0.25,1.3,1,2,3.4,1.55,2.27,1,2,1.1,0.5,2.75,0.25,1.5,0.25,1.85,6,2.5,10,2.75,6,1.65,0.3,1.75,0.5,2.9,1,5
Germany,REWE,Mid-range,865,1,2.93,1,3.42,1,2.35,1,1.76,1,1.85,1,0.96,1,2.32,0.35,2.44,0.1,0.49,2,1.46,1.5,1.66,1,2.25,1,2.49,1,2.29,1,1.39,1,3.99,1,1.95,1,2.89,1,1.25,1,0.68,1,1.07,0.25,2.31,0.25,2.12,0.25,1.99,10,1.95,4,1.07,6,1.36,1,10.9,1,10.83,1,6.48
Germany,ALDI,Budget (cheap),863,1,2.98,1,2.19,1,1.45,1,1.63,1,1.05,,,1,4.84,1,2.48,1,4.44,1,0.86,2.5,1.25,1.5,1.78,1,0.37,,,,,1,1.93,,,,,1,0.76,1,1.05,1,1.25,0.25,1.5,0.25,1.34,,,10,1.25,10,1.63,10,1.54,1,6.1,0.6,3.78,,
USA,Target,Mid-range,"$2,860",0.182,0.99,0.182,1.89,0.182,0.99,0.91,1.79,0.118,0.29,0.118,0.39,0.453,3.19,0.453,1.29,0.453,2.99,1.36078,3.69,1.36078,3.79,0.174,0.95,2.268,1.49,0.907185,2.49,0.68,2.49,0.907185,1.89,0.907185,2.99,0.907185,4.19,3.62,3.99,3.62,7.99,1.81,3.89,0.453592,5.19,0.453592,6.49,0.453592,6.39,12,3.99,12,3.19,12,3.69,0.453592,8.99,0.453592,9.49,0.816466,9.99
Morocco,Marjane,Mid-range,7960,1,19,1,19,1,12,1,14,1,14,1,17,1,7,1,7,1,9,1,9,1,9,1,8,5,28,5,38,5,25,0.5,36,1,60,1,60,1,9,1,8,1,9,0.2,15,0.2,15,0.2,23,100,30,100,30,100,25,0.2,13,0.2,14,1,68
USA,TraderJoe,Mid-range,"2,395",0.182,0.79,0.182,0.79,0.182,1.29,0.118,0.19,0.118,0.25,0.118,0.25,0.453592,2.89,0.453592,3.29,0.453592,4.99,0.163,0.89,0.680389,2.49,1.36078,3.99,2.26796,2.99,2.26796,2.99,2.26796,4.99,2.26796,2.99,2.26796,4.49,1.36078,3.49,3.785411784,3.69,0.94635295,1.19,1.89271,3.79,0.453592,5.99,0.453592,3.99,0.453592,2.99,12,2.99,12,2.49,12,4.29,0.408233,4.54,0.453592,4.49,0.453592,4.99
Morocco,Carrefour,Luxury (expensive),7960,1,23,1,30,1,33,1,19,1,19,1,19,1,9,1,9,1,9,1,9,1,10,1,9,10,66,10,89,5,37,1,80,1,69,1,69,1,10,1,17,1,11,0.25,20,0.2,20,0.2,27,30,44,15,28,12,22,0.5,40,0.5,45,0.5,46
Germany,REWE,Mid-range,1044,1,2.93,1,2.93,1,2.93,1,1.56,1,1.95,,,1,2.74,1,2.32,1,2.44,1,0.73,1,0.73,1,0.73,1,0.78,1,1.36,1,0.97,1,5.58,1,4.99,,,1,1.29,1,1.19,,,1,11.6,1,8.5,1,7.8,10,1.95,10,1.27,6,1.36,1,11.23,1,11.23,,
